Comparison,Baseline_Mean,Baseline_Std,Model_Mean,Model_Std,Mean_Diff,t_statistic,p_value,Cohens_d,Effect_Size,Boot_CI_Lower,Boot_CI_Upper,CI_Excludes_Zero,Significant,Significance
TITAN vs HistGen,0.6762521626473056,0.024584684981560308,0.742455959847838,0.02256322274173628,0.06620379720053238,3.480544678980542,0.025339443442315483,2.805767396103358,large,0.03025145164635734,0.09524468170970106,True,True,*
UNI vs HistGen,0.6762521626473056,0.024584684981560308,0.6815042034132868,0.01936677934131757,0.005252040765981181,0.3564020728813448,0.7395439517392901,0.23732612528066693,small,-0.019687530082518646,0.03175865231624122,False,False,ns
UNI2 vs HistGen,0.6762521626473056,0.024584684981560308,0.6983326630866019,0.02651160611577354,0.022080500439296324,1.1296244166568392,0.3217866916355995,0.86365627196568,large,-0.010438968847512387,0.05459996972610481,False,False,ns
